group,axis,value,description
Energy efficient microarchitectures (memory, processors, cache) ,leakage energy,100,616.0
Energy efficient microarchitectures (memory, processors, cache) ,cache,70.941558441558,437.0
Energy efficient microarchitectures (memory, processors, cache) ,energy consumption,29.383116883117,181.0
Energy efficient microarchitectures (memory, processors, cache) ,caches,28.896103896104,178.0
Energy efficient microarchitectures (memory, processors, cache) ,reducing,19.642857142857,121.0
Energy efficient microarchitectures (memory, processors, cache) ,total,16.720779220779,103.0
Energy efficient microarchitectures (memory, processors, cache) ,energy,15.25974025974,94.0
Energy efficient microarchitectures (memory, processors, cache) ,embedded,14.448051948052,89.0
Energy efficient microarchitectures (memory, processors, cache) ,leakage,14.448051948052,89.0
Energy efficient microarchitectures (memory, processors, cache) ,average,9.4155844155844,58.0
Energy efficient microarchitectures (memory, processors, cache) ,savings,7.9545454545455,49.0
Energy efficient microarchitectures (memory, processors, cache) ,reduce,7.3051948051948,45.0
Energy efficient microarchitectures (memory, processors, cache) ,consumption,6.8181818181818,42.0
Energy efficient microarchitectures (memory, processors, cache) ,reduction,6.3311688311688,39.0
Energy efficient microarchitectures (memory, processors, cache) ,instruction,5.1948051948052,32.0
Energy efficient microarchitectures (memory, processors, cache) ,static,3.2467532467532,20.0
Energy efficient microarchitectures (memory, processors, cache) ,chip,2.9220779220779,18.0
Energy efficient microarchitectures (memory, processors, cache) ,instructions,2.9220779220779,18.0
Energy efficient microarchitectures (memory, processors, cache) ,processor,1.461038961039,9.0
Energy efficient microarchitectures (memory, processors, cache) ,processors,1.461038961039,9.0
Energy efficient microarchitectures (memory, processors, cache) ,execution,0.97402597402597,6.0
