group,axis,value,description
Packets switching,switch,100,436.0
Packets switching,slot,64.449541284404,281.0
Packets switching,slots,33.02752293578,144.0
Packets switching,cells,30.733944954128,134.0
Packets switching,switches,25.917431192661,113.0
Packets switching,port,21.100917431193,92.0
Packets switching,queueing,19.495412844037,85.0
Packets switching,atm,11.009174311927,48.0
Packets switching,cell,10.091743119266,44.0
Packets switching,buffer,8.9449541284404,39.0
Packets switching,queue,7.7981651376147,34.0
Packets switching,switching,6.8807339449541,30.0
Packets switching,packets,5.7339449541284,25.0
Packets switching,scheduling,5.2752293577982,23.0
Packets switching,output,4.8165137614679,21.0
Packets switching,throughput,4.8165137614679,21.0
Packets switching,packet,4.3577981651376,19.0
Packets switching,traffic,3.6697247706422,16.0
Packets switching,delay,1.605504587156,7.0
