group,axis,value,description
Wolff Gregory,Tangible (physical) interfaces and augmented reality,100,P100004
Wolff Gregory,Genetic algorithms & optimization,0,P100004
Wolff Gregory,Students and Education,0,P100004
Wolff Gregory,File systems & storage management,0,P100004
Konstam Aaron,Tangible (physical) interfaces and augmented reality,0,P10002
Konstam Aaron,Genetic algorithms & optimization,49.6,P10002
Konstam Aaron,Students and Education,50.4,P10002
Konstam Aaron,File systems & storage management,0,P10002
Bartels Gretta,Tangible (physical) interfaces and augmented reality,0,P100038
Bartels Gretta,Genetic algorithms & optimization,0,P100038
Bartels Gretta,Students and Education,0,P100038
Bartels Gretta,File systems & storage management,100,P100038
