group,axis,value,description
Wolff Gregory,Tangible (physical) interfaces and augmented reality,100,P100004
Wolff Gregory,Genetic algorithms & optimization,0,P100004
Wolff Gregory,Students and Education,0,P100004
Wolff Gregory,File systems & storage management,0,P100004
Wolff Gregory,Automatic data and information extraction from the WEB,0,P100004
Wolff Gregory,Information search and retrieval (documents),0,P100004
Wolff Gregory,Data integration and Schema mapping / matching,0,P100004
Konstam Aaron,Tangible (physical) interfaces and augmented reality,0,P10002
Konstam Aaron,Genetic algorithms & optimization,49.6,P10002
Konstam Aaron,Students and Education,50.4,P10002
Konstam Aaron,File systems & storage management,0,P10002
Konstam Aaron,Automatic data and information extraction from the WEB,0,P10002
Konstam Aaron,Information search and retrieval (documents),0,P10002
Konstam Aaron,Data integration and Schema mapping / matching,0,P10002
Bartels Gretta,Tangible (physical) interfaces and augmented reality,0,P100038
Bartels Gretta,Genetic algorithms & optimization,0,P100038
Bartels Gretta,Students and Education,0,P100038
Bartels Gretta,File systems & storage management,100,P100038
Bartels Gretta,Automatic data and information extraction from the WEB,0,P100038
Bartels Gretta,Information search and retrieval (documents),0,P100038
Bartels Gretta,Data integration and Schema mapping / matching,0,P100038
Cao Yunbo,Tangible (physical) interfaces and augmented reality,0,P1000673
Cao Yunbo,Genetic algorithms & optimization,0,P1000673
Cao Yunbo,Students and Education,0,P1000673
Cao Yunbo,File systems & storage management,0,P1000673
Cao Yunbo,Automatic data and information extraction from the WEB,20.1,P1000673
Cao Yunbo,Information search and retrieval (documents),79.9,P1000673
Cao Yunbo,Data integration and Schema mapping / matching,0,P1000673
Chakrabarti Deepayan,Tangible (physical) interfaces and augmented reality,0,P1000785
Chakrabarti Deepayan,Genetic algorithms & optimization,0,P1000785
Chakrabarti Deepayan,Students and Education,0,P1000785
Chakrabarti Deepayan,File systems & storage management,0,P1000785
Chakrabarti Deepayan,Automatic data and information extraction from the WEB,100,P1000785
Chakrabarti Deepayan,Information search and retrieval (documents),0,P1000785
Chakrabarti Deepayan,Data integration and Schema mapping / matching,0,P1000785
Yao Conglei,Tangible (physical) interfaces and augmented reality,0,P1001039
Yao Conglei,Genetic algorithms & optimization,0,P1001039
Yao Conglei,Students and Education,0,P1001039
Yao Conglei,File systems & storage management,0,P1001039
Yao Conglei,Automatic data and information extraction from the WEB,73.3,P1001039
Yao Conglei,Information search and retrieval (documents),0,P1001039
Yao Conglei,Data integration and Schema mapping / matching,26.7,P1001039
