group,axis,value,description
Burkhart Grey,Network protocols and packet switching,10.4,P100039
Burkhart Grey,Electronic communication (internet, mail, video),31.9,P100039
Burkhart Grey,Facility locations,57.7,P100039
Burkhart Grey,Proving and verification ,0,P100039
Burkhart Grey,Concurrent programming & multi threading ,0,P100039
Larson Aaron,Network protocols and packet switching,0,P10005
Larson Aaron,Electronic communication (internet, mail, video),0,P10005
Larson Aaron,Facility locations,0,P10005
Larson Aaron,Proving and verification ,30.3,P10005
Larson Aaron,Concurrent programming & multi threading ,23.5,P10005
