group,axis,value,description
Cao Yunbo,Automatic data and information extraction from the WEB,20.1,P1000673
Cao Yunbo,Information search and retrieval (documents),79.9,P1000673
Cao Yunbo,Data integration and Schema mapping / matching,0,P1000673
Cao Yunbo,Computation theory (finite and cellural automata, turing machines),0,P1000673
Cao Yunbo,Relational databases, model & SQL queries,0,P1000673
Cao Yunbo,Social networks & graph theory,0,P1000673
Chakrabarti Deepayan,Automatic data and information extraction from the WEB,100,P1000785
Chakrabarti Deepayan,Information search and retrieval (documents),0,P1000785
Chakrabarti Deepayan,Data integration and Schema mapping / matching,0,P1000785
Chakrabarti Deepayan,Computation theory (finite and cellural automata, turing machines),0,P1000785
Chakrabarti Deepayan,Relational databases, model & SQL queries,0,P1000785
Chakrabarti Deepayan,Social networks & graph theory,0,P1000785
Yao Conglei,Automatic data and information extraction from the WEB,73.3,P1001039
Yao Conglei,Information search and retrieval (documents),0,P1001039
Yao Conglei,Data integration and Schema mapping / matching,26.7,P1001039
Yao Conglei,Computation theory (finite and cellural automata, turing machines),0,P1001039
Yao Conglei,Relational databases, model & SQL queries,0,P1001039
Yao Conglei,Social networks & graph theory,0,P1001039
Yang Guizhen,Automatic data and information extraction from the WEB,53.3,P100427
Yang Guizhen,Information search and retrieval (documents),0,P100427
Yang Guizhen,Data integration and Schema mapping / matching,0,P100427
Yang Guizhen,Computation theory (finite and cellural automata, turing machines),3.6,P100427
Yang Guizhen,Relational databases, model & SQL queries,33.5,P100427
Yang Guizhen,Social networks & graph theory,9.6,P100427
Fisher Kathleen,Automatic data and information extraction from the WEB,56.8,P1025944
Fisher Kathleen,Information search and retrieval (documents),0,P1025944
Fisher Kathleen,Data integration and Schema mapping / matching,0,P1025944
Fisher Kathleen,Computation theory (finite and cellural automata, turing machines),0,P1025944
Fisher Kathleen,Relational databases, model & SQL queries,0,P1025944
Fisher Kathleen,Social networks & graph theory,0,P1025944
