group,axis,value,description
Cao Yunbo,Automatic data and information extraction from the WEB,20.1,P1000673
Cao Yunbo,Information search and retrieval (documents),79.9,P1000673
Cao Yunbo,Data integration and Schema mapping / matching,0,P1000673
Cao Yunbo,Online advertising,0,P1000673
Cao Yunbo,Intelligent agents,0,P1000673
Cao Yunbo,Knowledge discovery and data mining,0,P1000673
Cao Yunbo,Relational databases, model & SQL queries,0,P1000673
Cao Yunbo,Social media & networking,0,P1000673
Chakrabarti Deepayan,Automatic data and information extraction from the WEB,100,P1000785
Chakrabarti Deepayan,Information search and retrieval (documents),0,P1000785
Chakrabarti Deepayan,Data integration and Schema mapping / matching,0,P1000785
Chakrabarti Deepayan,Online advertising,0,P1000785
Chakrabarti Deepayan,Intelligent agents,0,P1000785
Chakrabarti Deepayan,Knowledge discovery and data mining,0,P1000785
Chakrabarti Deepayan,Relational databases, model & SQL queries,0,P1000785
Chakrabarti Deepayan,Social media & networking,0,P1000785
Yao Conglei,Automatic data and information extraction from the WEB,73.3,P1001039
Yao Conglei,Information search and retrieval (documents),0,P1001039
Yao Conglei,Data integration and Schema mapping / matching,26.7,P1001039
Yao Conglei,Online advertising,0,P1001039
Yao Conglei,Intelligent agents,0,P1001039
Yao Conglei,Knowledge discovery and data mining,0,P1001039
Yao Conglei,Relational databases, model & SQL queries,0,P1001039
Yao Conglei,Social media & networking,0,P1001039
Davulcu Hasan,Automatic data and information extraction from the WEB,46.5,P108248
Davulcu Hasan,Information search and retrieval (documents),0,P108248
Davulcu Hasan,Data integration and Schema mapping / matching,0,P108248
Davulcu Hasan,Online advertising,3.4,P108248
Davulcu Hasan,Intelligent agents,6.1,P108248
Davulcu Hasan,Knowledge discovery and data mining,5,P108248
Davulcu Hasan,Relational databases, model & SQL queries,18.2,P108248
Davulcu Hasan,Social media & networking,14.7,P108248
