group,axis,value,description
Carr Steve,Cache access optimization and associative processor / memory,34.4,PP43115838
Carr Steve,Register allocation,6.8,PP43115838
Carr Steve,Visualization and animation for students,3.3,PP43115838
Carr Steve,Cuncurrent Programming,4,PP43115838
Carr Steve,Processor instruction scheduling & parallelism,11.7,PP43115838
Carr Steve,Processor architecture & FPGAs,4.6,PP43115838
Carr Steve,Distributed systems, MPI, parallelization,4,PP43115838
Carr Steve,Compiler optimization (loops & parallelism),6.4,PP43115838
Carr Steve,Students and Education,4.6,PP43115838
Carr Steve,Micro-architecture & micro-processors ,5.1,PP43115838
