group,axis,value,description
Social Tagging (mainly) & RFID tagging (mixed),rfid tags,100,3344.0
Social Tagging (mainly) & RFID tagging (mixed),tags,54.844497607656,1834.0
Social Tagging (mainly) & RFID tagging (mixed),tag,44.856459330144,1500.0
Social Tagging (mainly) & RFID tagging (mixed),rfid tag,31.578947368421,1056.0
Social Tagging (mainly) & RFID tagging (mixed),del icio,28.947368421053,968.0
Social Tagging (mainly) & RFID tagging (mixed),rfid,28.738038277512,961.0
Social Tagging (mainly) & RFID tagging (mixed),tagging,28.409090909091,950.0
Social Tagging (mainly) & RFID tagging (mixed),identification rfid,23.684210526316,792.0
Social Tagging (mainly) & RFID tagging (mixed),rfid readers,23.684210526316,792.0
Social Tagging (mainly) & RFID tagging (mixed),social bookmarking,21.052631578947,704.0
Social Tagging (mainly) & RFID tagging (mixed),tag clouds,21.052631578947,704.0
Social Tagging (mainly) & RFID tagging (mixed),tag tag,21.052631578947,704.0
Social Tagging (mainly) & RFID tagging (mixed),radio frequency,18.421052631579,616.0
Social Tagging (mainly) & RFID tagging (mixed),social tagging,18.421052631579,616.0
Social Tagging (mainly) & RFID tagging (mixed),tags tags,18.421052631579,616.0
Social Tagging (mainly) & RFID tagging (mixed),rfid reader,15.789473684211,528.0
Social Tagging (mainly) & RFID tagging (mixed),item tag,10.526315789474,352.0
Social Tagging (mainly) & RFID tagging (mixed),radio frequency identification rfid,10.526315789474,352.0
Social Tagging (mainly) & RFID tagging (mixed),social annotation,10.526315789474,352.0
Social Tagging (mainly) & RFID tagging (mixed),social tags,10.526315789474,352.0
Social Tagging (mainly) & RFID tagging (mixed),tag tags,10.526315789474,352.0
Social Tagging (mainly) & RFID tagging (mixed),tags tagging,10.526315789474,352.0
Social Tagging (mainly) & RFID tagging (mixed),supply chain,7.5956937799043,254.0
Social Tagging (mainly) & RFID tagging (mixed),social media,7.2966507177033,244.0
Social Tagging (mainly) & RFID tagging (mixed),flickr,5.5023923444976,184.0
Social Tagging (mainly) & RFID tagging (mixed),tagged,4.4557416267943,149.0
Social Tagging (mainly) & RFID tagging (mixed),identification,4.066985645933,136.0
Social Tagging (mainly) & RFID tagging (mixed),recommendation,4.066985645933,136.0
Social Tagging (mainly) & RFID tagging (mixed),bookmarking,3.8875598086124,130.0
Social Tagging (mainly) & RFID tagging (mixed),annotations,2.183014354067,73.0
Social Tagging (mainly) & RFID tagging (mixed),social,1.4055023923445,47.0
Social Tagging (mainly) & RFID tagging (mixed),metadata,1.1363636363636,38.0
Social Tagging (mainly) & RFID tagging (mixed),semantic,1.1064593301435,37.0
Social Tagging (mainly) & RFID tagging (mixed),collaborative,0.86722488038278,29.0
Social Tagging (mainly) & RFID tagging (mixed),sharing,0.74760765550239,25.0
Social Tagging (mainly) & RFID tagging (mixed),content,0.7177033492823,24.0
Social Tagging (mainly) & RFID tagging (mixed),media,0.6877990430622,23.0
Social Tagging (mainly) & RFID tagging (mixed),retrieval,0.35885167464115,12.0
Social Tagging (mainly) & RFID tagging (mixed),image,0.26913875598086,9.0
