group,axis,value,description
P100004,158,100,1.0
P100004,295,0,0
P100004,334,0,0
P100004,360,0,0
P100004,31,0,0
P100004,144,0,0
P100004,194,0,0
P100004,87,0,0
P10002,158,0,0
P10002,295,49.6,0.496
P10002,334,50.4,0.504
P10002,360,0,0
P10002,31,0,0
P10002,144,0,0
P10002,194,0,0
P10002,87,0,0
P100038,158,0,0
P100038,295,0,0
P100038,334,0,0
P100038,360,100,1.0
P100038,31,0,0
P100038,144,0,0
P100038,194,0,0
P100038,87,0,0
P100039,158,0,0
P100039,295,0,0
P100039,334,0,0
P100039,360,0,0
P100039,31,10.4,0.104
P100039,144,31.9,0.319
P100039,194,57.7,0.577
P100039,87,0,0
P100043,158,0,0
P100043,295,0,0
P100043,334,0,0
P100043,360,0,0
P100043,31,0,0
P100043,144,0,0
P100043,194,0,0
P100043,87,100,1.0
