item,counts,title
wrapper,207.0,Automatic data and information extraction from the WEB
wrappers,137.0,Automatic data and information extraction from the WEB
extract,117.0,Automatic data and information extraction from the WEB
extraction,108.0,Automatic data and information extraction from the WEB
html,74.0,Automatic data and information extraction from the WEB
pages,70.0,Automatic data and information extraction from the WEB
blocks,51.0,Automatic data and information extraction from the WEB
automatically,42.0,Automatic data and information extraction from the WEB
sites,42.0,Automatic data and information extraction from the WEB
sources,34.0,Automatic data and information extraction from the WEB
