topicid,item
0,fault simulation
0,hardware description
0,logic simulation
0,digital logic
0,register transfer
0,high level synthesis
0,behavioral descriptions
0,design automation
0,logic synthesis
0,test
16,source code
16,reverse engineering
16,software maintenance
16,software documentation
16,refactoring
16,bad smells
16,code fragments
16,error prone
16,software evolution
16,code code
17,computer science
17,undergraduate curriculum
17,science
17,curriculum
17,computer science curriculum
17,high school
17,students
17,teaching computer
17,science education
17,school
18,test cases
18,test case
18,test suite
18,software testing
18,testing
18,regression testing
18,test
18,automated testing
18,based testing
18,test coverage
31,multi touch
31,touch
31,input device
31,interaction techniques
31,multi user
31,touch screen
31,mobile devices
31,user interface
31,screen
31,devices
37,requirements engineering
37,requirements
37,requirements specification
37,functional requirements
37,requirements specifications
37,traceability links
37,uml models
37,software engineering
37,requirements analysis
37,formal specification
39,apl
39,apl language
39,apl apl
39,apl programs
39,apl functions
39,apl pthis
39,language apl
39,apl system
39,pthis paper describes
40,embedded system
40,real time
40,embedded systems
40,embedded devices
40,pembedded systems
40,embedded applications
40,real time embedded
40,embedded software
40,hardware software
40,embedded
39,language design
45,computer science
45,pair programming
45,science courses
45,students
45,computer programming
45,introductory programming
45,programming concepts
45,programming courses
45,teaching students
45,introductory
58,software engineering
58,software process
58,agile software
58,software development process
58,software development
58,agile development
58,development processes
58,process model
58,development process
58,agile
61,information retrieval
61,document retrieval
61,query expansion
61,retrieval systems
61,retrieval system
61,text retrieval
61,retrieval models
61,document collections
61,retrieval
61,relevance feedback
67,structured programming
67,machine language
67,data types
67,data abstraction
67,level languages
67,operating system
67,level language
67,operating systems
67,computer systems
67,programming languages
70,wireless lan
70,multicast
70,access point
70,mac protocol
70,reliable multicast
70,wireless medium
70,wireless networks
70,vehicular networks
70,mac layer
70,wireless network
74,differential equations
74,symbolic computation
74,part italicy
74,computer algebra
74,algebraic
74,algebraic manipulation
74,algebra system
74,algebra systems
74,symbolic algebra
74,differential
97,audio video
97,video clips
97,video streaming
97,video
97,sports video
97,video streams
97,video content
97,video quality
97,video summarization
97,interactive video
106,children
106,tangible interfaces
106,physical objects
106,tangible
106,young children
106,children ages
106,pwe propose
106,tangible interaction
106,tangible user
106,school children
118,participatory design
118,usability evaluation
118,centered design
118,design guidelines
118,design process
118,usability problems
118,usability testing
118,user centered design
118,usability
118,interaction hci
121,machine learning
121,feature selection
121,supervised learning
121,active learning
121,semi supervised
121,classification
121,support vector machines
121,text classification
121,vector machines
121,classification accuracy
124,programming environment
124,development environment
124,programming environments
124,version control
124,development environments
124,development tools
124,software development environments
124,software environments
124,programming tools
124,software development environment
131,distance learning
131,distance education
131,collaborative learning
131,based learning
131,learning environments
131,learning environment
131,learning activities
131,school students
131,educational
131,learning
137,web servers
137,web server
137,based data
137,proxy server
137,web objects
137,proxy caching
137,web cache
137,web caching
137,web services
137,world wide web
139,information visualization
139,visual exploration
139,visualization techniques
139,user interface
139,analysis visualization
139,visual analysis
139,human factors
139,visual analytics
139,user interfaces
139,visualization
144,peer peer
144,overlay network
144,peer
144,peer peer systems
144,content distribution
144,gossip based
144,content delivery
144,peer systems
144,peer peer network
144,scale distributed
150,software engineering
150,surfing net software engineering notes
150,icse workshop
150,workshop software engineering
150,software engineers
150,software development
150,engineering research
150,international workshop
150,international workshop software engineering
150,reusable software
165,concurrency control
165,transaction management
165,transaction processing
165,distributed database
165,transaction
165,database applications
165,data items
165,nested transactions
165,database management
165,database systems
168,eye movement
168,eye tracking
168,eye movements
168,visually impaired
168,eye gaze
168,eye tracker
168,text entry
168,fitts law
168,eye
170,simulation modeling
170,simulation language
170,discrete event simulation
170,modeling simulation
170,simulation languages
170,discrete simulation
170,simulation system
170,model development
170,simulation model
170,simulation
168,haptic feedback
171,supply voltage
171,leakage power
171,current
171,interconnect
171,cmos technology
171,gate sizing
171,power grid
171,transistor level
171,voltage
171,noise
177,object oriented
177,object oriented programming
177,object oriented design
177,object orientation
177,object
177,oriented programming
177,oriented paradigm
177,object oriented paradigm
177,object oriented language
177,object oriented software
180,shortest path
180,shortest paths
180,spanning trees
180,graph based
180,spanning tree
180,directed graph
180,edges graph
180,graph algorithms
180,graph nodes
180,flow graph
191,privacy policy
191,privacy policies
191,digital forensics
191,law enforcement
191,privacy preferences
191,privacy security
191,privacy concerns
191,inside risks
191,privacy issues
191,privacy
194,data mining
194,mining
194,association rules
194,pattern mining
194,association rule mining
194,knowledge discovery
194,mining algorithms
194,rule mining
194,outlier detection
194,data data
197,government agencies
197,government
197,digital government
197,public policy
197,public sector
197,socio economic
197,federal government
197,south african
197,united states
197,digital divide
206,analytical model
206,markov model
206,markov models
206,model model
206,modeling analysis
206,modeling approach
206,modeling evaluation
206,molecular dynamics
206,parameters model
206,predictive modeling
208,massively parallel
208,parallel processing
208,parallel algorithms
208,parallel computer
208,parallel computers
208,number processors
208,parallel machines
208,deadlock free
208,interprocessor communication
208,parallel processor
214,hoc networks
214,mobile hoc
214,sensor networks
214,mobile hoc networks
214,hoc
214,routing protocols
214,wireless hoc
214,routing protocol
214,communication networks
214,hoc network
220,annotated bibliography
220,http www
220,sigact news
220,international workshop
220,acm
220,day day
220,conference
220,acm shut
220,past years
220,computer science
221,training program
221,system development
221,systems design
221,systems development
221,systems developed
221,training programs
221,user services
221,training
221,project management
221,computer center
229,augmented reality
229,virtual reality
229,virtual environments
229,virtual environment
229,real virtual
229,virtual worlds
229,mixed reality
229,reality
229,virtual objects
229,virtual space
230,present design
230,mobile devices
230,interaction design
230,mobile phones
230,design space
230,design evaluation
230,design process
230,technologies
230,social networking
230,location based
231,adaptive hypermedia
231,hypermedia systems
231,spatial hypertext
231,hypermedia
231,web applications
231,hypermedia applications
231,hypermedia structures
231,open hypermedia
231,hypertext
231,web application
233,genetic algorithm
233,ant colony
233,particle swarm optimization
233,multi objective
233,genetic algorithms
233,local search
233,ant colony optimization
233,particle swarm
233,evolutionary algorithm
233,pareto front
244,expert system
244,expert systems
244,artificial intelligence
244,rule based
244,knowledge based
244,expert
244,knowledge base
244,knowledge acquisition
244,knowledge representation
244,knowledge based system
248,simulation approach
248,simulation model
248,based model
248,model predict
248,model simulation
248,simulation study
248,time simulation
248,modeling simulation
248,computer simulation
248,simulation program
